dataset,method,mae,max-fm,mean-fm,max-Emeasure,mean-Emeasure,S-measure,AP,AUC
CoCA,CoU2Net,0.1229,0.4786,0.4727,0.7064,0.6944,0.6432,0.4049,0.8253
CoCA,CoLDF,0.1162,0.5054,0.5022,0.7188,0.7131,0.6568,0.4290,0.8154
CoCA,COEGNET,0.1062,0.4930,0.4495,0.7171,0.6788,0.6119,0.3593,0.7389
CoCA,GICD,0.1260,0.5126,0.5044,0.7149,0.7010,0.6579,0.4296,0.8094
CoCA,GCONET,0.1050,0.5438,0.5313,0.7598,0.7393,0.6729,0.4554,0.8234
CoSOD3k,CoU2Net,0.1017,0.7072,0.6989,0.7944,0.7833,0.7431,0.6558,0.8578
CoSOD3k,CoLDF,0.0940,0.7384,0.7341,0.8084,0.8010,0.7593,0.6814,0.8544
CoSOD3k,COEGNET,0.0839,0.7577,0.7484,0.8379,0.8166,0.7780,0.7058,0.8664
CoSOD3k,GICD,0.0794,0.7698,0.7628,0.8478,0.8446,0.7969,0.7119,0.8831
CoSOD3k,GCONET,0.0712,0.7771,0.7699,0.8601,0.8568,0.8018,0.7218,0.8890
CoSal2015,CoU2Net,0.1042,0.7739,0.7642,0.8285,0.8177,0.7841,0.7397,0.8803
CoSal2015,CoLDF,0.0954,0.8056,0.8007,0.8415,0.8350,0.8009,0.7600,0.8757
CoSal2015,COEGNET,0.0777,0.8358,0.8273,0.8841,0.8675,0.8384,0.8276,0.9237
CoSal2015,GICD,0.0707,0.8441,0.8351,0.8865,0.8826,0.8437,0.8050,0.9109
CoSal2015,GCONET,0.0681,0.8471,0.8376,0.8874,0.8836,0.8453,0.8155,0.9171
