data_class,method,mae,max-fm,mean-fm,max-Emeasure,mean-Emeasure,S-measure,AP,AUC
CoCA_beer_bottle,CoU2Net,0.0639,0.6197,0.6091,0.8124,0.8007,0.7581,0.5623,0.8859
CoCA_beer_bottle,CoLDF,0.0561,0.6499,0.6422,0.8297,0.8168,0.7820,0.5994,0.8856
CoCA_beer_bottle,COEGNET,0.1174,0.5072,0.4822,0.7089,0.6964,0.6305,0.4033,0.7684
CoCA_beer_bottle,GICD,0.0894,0.5814,0.5759,0.7996,0.7874,0.7006,0.4852,0.8361
CoCA_beer_bottle,GCoNet,0.0946,0.5122,0.5017,0.8219,0.7909,0.6725,0.3970,0.8001
CoCA_beer_bottle,LDF,0.1428,0.5082,0.4993,0.7120,0.6878,0.6836,0.4641,0.8485
CoCA_beer_bottle,U2Net,0.1579,0.4615,0.4518,0.6780,0.6346,0.6536,0.4122,0.8891
CoCA_high_heels,CoU2Net,0.1542,0.5160,0.4973,0.7652,0.7162,0.6520,0.4590,0.8748
CoCA_high_heels,CoLDF,0.1314,0.5465,0.5402,0.7856,0.7731,0.6793,0.4670,0.8513
CoCA_high_heels,COEGNET,0.1122,0.5805,0.5566,0.7011,0.6813,0.6199,0.4349,0.7257
CoCA_high_heels,GICD,0.0989,0.6157,0.6090,0.8024,0.7939,0.7143,0.5009,0.8332
CoCA_high_heels,GCoNet,0.1227,0.5580,0.5480,0.8378,0.7929,0.6573,0.4582,0.8257
CoCA_high_heels,LDF,0.1594,0.4872,0.4797,0.7300,0.6966,0.6409,0.4259,0.8609
CoCA_high_heels,U2Net,0.1912,0.4580,0.4368,0.6715,0.6213,0.6148,0.4173,0.8955
CoCA_chopsticks,CoU2Net,0.2071,0.2028,0.1942,0.5574,0.4932,0.4640,0.1854,0.6667
CoCA_chopsticks,CoLDF,0.1732,0.2364,0.2252,0.5873,0.5377,0.4947,0.2012,0.6917
CoCA_chopsticks,COEGNET,0.0899,0.5154,0.4544,0.7908,0.7229,0.6646,0.4351,0.8300
CoCA_chopsticks,GICD,0.2563,0.2384,0.2340,0.5280,0.5053,0.4849,0.1677,0.6479
CoCA_chopsticks,GCoNet,0.2364,0.1645,0.1608,0.5561,0.5391,0.4456,0.1293,0.5716
CoCA_chopsticks,LDF,0.2613,0.2571,0.2486,0.5495,0.4950,0.4983,0.2269,0.7327
CoCA_chopsticks,U2Net,0.3072,0.2736,0.2596,0.5309,0.4587,0.5000,0.2425,0.7468
CoCA_squirrel,CoU2Net,0.0536,0.7831,0.7599,0.9019,0.8914,0.8196,0.7194,0.9142
CoCA_squirrel,CoLDF,0.0404,0.8378,0.8105,0.9256,0.9184,0.8561,0.7870,0.9202
CoCA_squirrel,COEGNET,0.0486,0.8279,0.8064,0.9011,0.8674,0.8086,0.6826,0.8393
CoCA_squirrel,GICD,0.0332,0.8726,0.8609,0.9394,0.9359,0.8715,0.8076,0.9269
CoCA_squirrel,GCoNet,0.0270,0.9020,0.8937,0.9486,0.9384,0.8874,0.8436,0.9220
CoCA_squirrel,LDF,0.0590,0.8006,0.7674,0.8847,0.8692,0.8411,0.7998,0.9487
CoCA_squirrel,U2Net,0.1011,0.6948,0.6695,0.8084,0.7947,0.7645,0.6836,0.9338
CoCA_poker,CoU2Net,0.2639,0.5824,0.5474,0.6714,0.6422,0.5659,0.5231,0.7371
CoCA_poker,CoLDF,0.2629,0.5999,0.5665,0.6710,0.6436,0.5650,0.5390,0.7324
CoCA_poker,COEGNET,0.2836,0.5117,0.4748,0.6340,0.6067,0.5286,0.4707,0.6590
CoCA_poker,GICD,0.2641,0.5771,0.5756,0.6507,0.6485,0.5753,0.5252,0.7084
CoCA_poker,GCoNet,0.2545,0.6135,0.6077,0.6782,0.6616,0.5624,0.5360,0.6840
CoCA_poker,LDF,0.2535,0.6193,0.5911,0.6920,0.6676,0.6146,0.5740,0.7653
CoCA_poker,U2Net,0.2742,0.5871,0.5507,0.6759,0.6304,0.6093,0.5431,0.7812
CoCA_rabbit,CoU2Net,0.0573,0.8236,0.8041,0.9099,0.9020,0.8442,0.7803,0.9224
CoCA_rabbit,CoLDF,0.0513,0.8397,0.8268,0.9147,0.9110,0.8531,0.7938,0.9163
CoCA_rabbit,COEGNET,0.0809,0.7079,0.6964,0.8024,0.7882,0.7402,0.5945,0.8025
CoCA_rabbit,GICD,0.0435,0.8275,0.8171,0.9270,0.9229,0.8554,0.7629,0.9219
CoCA_rabbit,GCoNet,0.0460,0.8341,0.8195,0.9047,0.8970,0.8534,0.7958,0.9277
CoCA_rabbit,LDF,0.1152,0.7651,0.7245,0.8457,0.8167,0.7975,0.7593,0.9061
CoCA_rabbit,U2Net,0.1606,0.6987,0.6450,0.8059,0.7486,0.7444,0.6887,0.9215
CoCA_sunflower,CoU2Net,0.0867,0.8012,0.7750,0.8719,0.8596,0.7874,0.7834,0.9290
CoCA_sunflower,CoLDF,0.1075,0.7194,0.6808,0.8107,0.7748,0.7112,0.6521,0.8740
CoCA_sunflower,COEGNET,0.1400,0.5835,0.5034,0.7328,0.6258,0.5844,0.4627,0.7426
CoCA_sunflower,GICD,0.1668,0.4654,0.4577,0.6336,0.6302,0.5661,0.3636,0.7156
CoCA_sunflower,GCoNet,0.1498,0.5561,0.5535,0.7645,0.7492,0.6029,0.4111,0.7193
CoCA_sunflower,LDF,0.1641,0.5771,0.5708,0.7207,0.7159,0.6275,0.5229,0.8261
CoCA_sunflower,U2Net,0.1648,0.6405,0.5982,0.7448,0.7232,0.6637,0.6106,0.8852
CoCA_sticky_note,CoU2Net,0.1709,0.1302,0.0921,0.4304,0.4086,0.4345,0.1142,0.4698
CoCA_sticky_note,CoLDF,0.1499,0.1302,0.0850,0.5655,0.5325,0.4298,0.1160,0.4752
CoCA_sticky_note,COEGNET,0.0883,0.3936,0.3144,0.7148,0.6395,0.6008,0.2727,0.7194
CoCA_sticky_note,GICD,0.1544,0.3630,0.3453,0.6422,0.6220,0.5617,0.2721,0.7479
CoCA_sticky_note,GCoNet,0.1666,0.2912,0.2848,0.6298,0.6078,0.5107,0.1739,0.6009
CoCA_sticky_note,LDF,0.1774,0.3523,0.2808,0.6716,0.5752,0.5185,0.2687,0.7664
CoCA_sticky_note,U2Net,0.2036,0.3825,0.3634,0.6966,0.6052,0.5861,0.4031,0.8251
CoCA_glasses,CoU2Net,0.1560,0.3471,0.3348,0.6722,0.6104,0.5811,0.2965,0.8309
CoCA_glasses,CoLDF,0.1385,0.4473,0.4339,0.7289,0.7058,0.6305,0.3838,0.8188
CoCA_glasses,COEGNET,0.0953,0.1790,0.1401,0.7671,0.6502,0.4731,0.1098,0.5300
CoCA_glasses,GICD,0.1448,0.4127,0.4032,0.6379,0.6151,0.6150,0.3501,0.8199
CoCA_glasses,GCoNet,0.1207,0.3868,0.3829,0.6683,0.6212,0.6164,0.3259,0.8340
CoCA_glasses,LDF,0.1956,0.4225,0.4084,0.6584,0.6075,0.5958,0.4109,0.8318
CoCA_glasses,U2Net,0.3248,0.2938,0.2857,0.5081,0.4558,0.4998,0.2788,0.7942
CoCA_pigeon,CoU2Net,0.0735,0.6463,0.6367,0.7944,0.7816,0.7520,0.5842,0.9011
CoCA_pigeon,CoLDF,0.0551,0.6907,0.6766,0.8083,0.8029,0.7872,0.6243,0.8987
CoCA_pigeon,COEGNET,0.0643,0.7222,0.6954,0.8260,0.7979,0.7305,0.6019,0.8431
CoCA_pigeon,GICD,0.0651,0.6597,0.6537,0.8121,0.8035,0.7691,0.5846,0.8943
CoCA_pigeon,GCoNet,0.0940,0.6337,0.6257,0.8197,0.8047,0.7497,0.5721,0.8796
CoCA_pigeon,LDF,0.1060,0.6248,0.6004,0.7786,0.7424,0.7566,0.6064,0.9072
CoCA_pigeon,U2Net,0.1624,0.4927,0.4828,0.6541,0.6369,0.6676,0.4624,0.9013
CoCA_violin,CoU2Net,0.1331,0.5188,0.4656,0.7265,0.7079,0.6459,0.4527,0.8606
CoCA_violin,CoLDF,0.1298,0.5047,0.4790,0.7120,0.6864,0.6477,0.4514,0.8567
CoCA_violin,COEGNET,0.1713,0.5299,0.4179,0.6961,0.5986,0.5573,0.4108,0.7412
CoCA_violin,GICD,0.0862,0.6593,0.6468,0.8064,0.7942,0.7251,0.5884,0.8757
CoCA_violin,GCoNet,0.0686,0.7445,0.7372,0.8684,0.8589,0.7499,0.6524,0.8490
CoCA_violin,LDF,0.2828,0.3504,0.3484,0.5915,0.5243,0.5337,0.3067,0.7242
CoCA_violin,U2Net,0.2891,0.3865,0.3540,0.5636,0.5485,0.5285,0.3406,0.7852
CoCA_pine_cone,CoU2Net,0.1236,0.2916,0.2803,0.7845,0.6803,0.5828,0.2005,0.7814
