dataset,method,mae,max-fm,mean-fm,max-Emeasure,mean-Emeasure,S-measure,AP,AUC
CoCA,efficientnet_b7,0.1469,0.4146,0.4104,0.6862,0.6764,0.5893,0.3236,0.7471
CoCA,regnet_x_32gf,0.1487,0.4240,0.4195,0.6825,0.6649,0.6047,0.3484,0.7781
CoCA,resnet50,0.1458,0.4268,0.4217,0.6825,0.6668,0.6029,0.3505,0.7775
CoCA,resnet152,0.1473,0.4362,0.4306,0.6851,0.6661,0.6125,0.3672,0.7949
CoCA,vgg16,0.1226,0.4865,0.4828,0.7145,0.7071,0.6418,0.4080,0.8014
CoCA,vgg19,0.1162,0.5054,0.5022,0.7188,0.7131,0.6568,0.4290,0.8154AUC
CoSal2015,regnet_x_32gf,0.1138,0.7777,0.7717,0.8214,0.8169,0.7797,0.7223,0.8612
CoSal2015,resnet50,0.1202,0.7590,0.7526,0.8044,0.7996,0.7606,0.6995,0.8467
CoSal2015,resnet152,0.1065,0.7873,0.7807,0.8291,0.8251,0.7922,0.7452,0.8780
CoSal2015,vgg16,0.0999,0.7988,0.7938,0.8340,0.8282,0.7925,0.7510,0.8693
CoSal2015,vgg19,0.0954,0.8057,0.8007,0.8415,0.8350,0.8009,0.7604,0.8758
CoSOD3k,regnet_x_32gf,0.1120,0.7116,0.7062,0.7901,0.7854,0.7459,0.6579,0.8511
CoSOD3k,resnet50,0.1164,0.6999,0.6943,0.7768,0.7716,0.7311,0.6439,0.8395
CoSOD3k,resnet152,0.1091,0.7197,0.7136,0.7947,0.7906,0.7541,0.6757,0.8638
CoSOD3k,vgg16,0.0984,0.7272,0.7229,0.7988,0.7917,0.7503,0.6674,0.8462
CoSOD3k,vgg19,0.0940,0.7384,0.7341,0.8084,0.8010,0.7593,0.6814,0.8544
