dataset,method,mae,max-fm,mean-fm,max-Emeasure,mean-Emeasure,S-measure,AP,AUC
CoCA,regnet_x_32gf,0.1557,0.4061,0.4001,0.6579,0.6444,0.5950,0.3326,0.7913
CoCA,resnet50,0.1530,0.4078,0.4011,0.6618,0.6488,0.5928,0.3346,0.7865
CoCA,resnet152,0.1549,0.4138,0.4075,0.6607,0.6428,0.6015,0.3482,0.8070
CoCA,vgg16,0.1275,0.4667,0.4619,0.6991,0.6898,0.6332,0.3887,0.8103
CoCA,vgg19,0.1211,0.4838,0.4790,0.7039,0.6955,0.6466,0.4083,0.8239
CoSOD3k,regnet_x_32gf,0.1191,0.6914,0.6829,0.7788,0.7700,0.7334,0.6352,0.8525
CoSOD3k,resnet50,0.1226,0.6809,0.6722,0.7674,0.7584,0.7200,0.6223,0.8400
CoSOD3k,resnet152,0.1163,0.6982,0.6890,0.7822,0.7743,0.7411,0.6501,0.8647
CoSOD3k,vgg16,0.1040,0.7073,0.6994,0.7889,0.7774,0.7388,0.6455,0.8441
CoSOD3k,vgg19,0.0994,0.7192,0.7112,0.7977,0.7862,0.7483,0.6593,0.8527
CoSal2015,regnet_x_32gf,0.1205,0.7588,0.7483,0.8068,0.8000,0.7683,0.7057,0.8640
CoSal2015,resnet50,0.1274,0.7396,0.7292,0.7907,0.7833,0.7492,0.6842,0.8483
CoSal2015,resnet152,0.1142,0.7685,0.7572,0.8157,0.8088,0.7802,0.7282,0.8807
CoSal2015,vgg16,0.1065,0.7778,0.7691,0.8232,0.8128,0.7814,0.7318,0.8683
CoSal2015,vgg19,0.1022,0.7848,0.7760,0.8314,0.8206,0.7898,0.7418,0.8758
